Feature ID	Taxon	Confidence
8db9ec3c6c2da03db22d64f72b6f0c7d	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae	0.9961676706554721
50e0c0978604a2aae73321c3c2c85afb	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.8443977339759094
bf9953a789e6247b5a852124bc1d1200	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9471666341041477
f3a0396a40bc16223b6658c9d49a7ce7	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0.9247854578326907
f6c583aa31ef8dbb7f157e4eed6a4dc7	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.8884291751398278
1842ed2df0300d3b4cd39079772d39e6	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__	0.9999424524864527
86dc5342c103dcc830570506236d1650	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9990846174680582
57338ae56a7cf67a85e532b6ee6432da	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9992606101467624
b626b8478f5ba4a5cc35989e01cb5858	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.9255085503477735
a425b0e0465f9122eaf63174c9cab72b	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.9996938139260614
139d05a2530b9585ba6cff2b7d3c66aa	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9307450093559747
5997d077795a48dea5ec552320f501d6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.7085581497626302
cce6934ff1657213574b4ac56bccaaad	k__Bacteria; p__TM7; c__TM7-3; o__; f__; g__; s__	0.999909527612919
8cc3de3060dfd687fa5d1e2f1a6a82d8	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.994806349707619
b6e20eee2d007dc7ab0bd1784ec617e1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__	0.8377245062945152
681b8604b8939af77212d71fee9731cd	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.995593353281668
07269a570a467b10e5069c8f2e807ff3	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__; s__	0.9986465007983953
f1d57f1276adc7529d6426fe96262383	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9943551590770165
72e1b1fa2a8745de2306eb174a5d9fc8	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__	0.9999989342312142
0b2b98a6d42d41f9d67206db113a551e	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae	0.9795068196223496
a2b73eeba627a99a5e7bd785f8061690	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	0.8259224367033954
bf197ac089ddcc60cce9789ff092a049	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.855499474907641
7fbb32c6bb59c7eb6464787856461a16	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.9285939399334927
2392d420e6ec58471e657b9ee3af9989	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus	0.9258359712111086
a5d2842fcc6d34f309160c462301b769	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus	0.9790012599683084
00a8ea8ca96fb3f571640cdf4d04da2b	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.9562949300026923
54f75845b72792ecf81365842ac6a6f5	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__	0.9999999981872776
10aa4868e5eeffdbdd6cf795d0a64adc	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__	0.9850605806155999
708f022fb2771f4a6ec9c0d64fe31dd2	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	0.9999999981026064
ff25578857d483db00ba8fd3da92f472	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__	0.9999999986397228
4bf3198c78397be5af0b7325d20558de	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.9999998698769104
24d85f159f2081c049be325ea9a9bdac	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.8644379732186602
4fbbe364adcde3a84f51a161ebfa54b7	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Erwinia; s__	0.8752179953043184
af4804164dc0730b75c337c8cb06a8e0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0.7565293187055704
983a0806857e311ab381e91c3ac211af	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__; s__	0.9999600906812494
ea4b0f4d2fb512e1871ea8f111ba2565	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae	0.9997628508294721
