url,target,description
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8667673/SRR8667673_1.fastq.gz,data/seaweed/raw/b3.d41_R1.fastq,forward reads for b3.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8667672/SRR8667672_1.fastq.gz,data/seaweed/raw/b4.d31_R1.fastq,forward reads for b4.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8667671/SRR8667671_1.fastq.gz,data/seaweed/raw/b5.d31_R1.fastq,forward reads for b5.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8667670/SRR8667670_1.fastq.gz,data/seaweed/raw/b6.d31_R1.fastq,forward reads for b6.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8667669/SRR8667669_1.fastq.gz,data/seaweed/raw/c1.d1_R1.fastq,forward reads for c1.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8667668/SRR8667668_1.fastq.gz,data/seaweed/raw/c1.d20_R1.fastq,forward reads for c1.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8667726/SRR8667726_1.fastq.gz,data/seaweed/raw/c1.d31_R1.fastq,forward reads for c1.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8667727/SRR8667727_1.fastq.gz,data/seaweed/raw/c1.d35_R1.fastq,forward reads for c1.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8667724/SRR8667724_1.fastq.gz,data/seaweed/raw/c1.d41_R1.fastq,forward reads for c1.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8667725/SRR8667725_1.fastq.gz,data/seaweed/raw/c2.d1_R1.fastq,forward reads for c2.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8667666/SRR8667666_1.fastq.gz,data/seaweed/raw/c2.d20_R1.fastq,forward reads for c2.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8667667/SRR8667667_1.fastq.gz,data/seaweed/raw/c2.d31_R1.fastq,forward reads for c2.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8667728/SRR8667728_1.fastq.gz,data/seaweed/raw/c2.d35_R1.fastq,forward reads for c2.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8667729/SRR8667729_1.fastq.gz,data/seaweed/raw/c2.d41_R1.fastq,forward reads for c2.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8667722/SRR8667722_1.fastq.gz,data/seaweed/raw/c3.d1_R1.fastq,forward reads for c3.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8667723/SRR8667723_1.fastq.gz,data/seaweed/raw/c3.d20_R1.fastq,forward reads for c3.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8667715/SRR8667715_1.fastq.gz,data/seaweed/raw/c3.d31_R1.fastq,forward reads for c3.d31
