id,success,log,alignment,reads,aligned,rate
13-10-A5D29_4,TRUE,alignments/13-10-A5D29_4.log,alignments/13-10-A5D29_4.bam,9575661,157,1.63957349785044e-05
14-18-B2D29_1,TRUE,alignments/14-18-B2D29_1.log,alignments/14-18-B2D29_1.bam,10725963,11,1.02554894138643e-06
14-18-B2D29_2,TRUE,alignments/14-18-B2D29_2.log,alignments/14-18-B2D29_2.bam,10454054,12,1.14788004730031e-06
14-18-B2D29_3,TRUE,alignments/14-18-B2D29_3.log,alignments/14-18-B2D29_3.bam,10846968,13,1.19849159691446e-06
14-18-B2D29_4,TRUE,alignments/14-18-B2D29_4.log,alignments/14-18-B2D29_4.bam,10638049,5,4.70010995437227e-07
15-20-D2D29_1,TRUE,alignments/15-20-D2D29_1.log,alignments/15-20-D2D29_1.bam,5119191,0,0
15-20-D2D29_2,TRUE,alignments/15-20-D2D29_2.log,alignments/15-20-D2D29_2.bam,4966576,0,0
15-20-D2D29_3,TRUE,alignments/15-20-D2D29_3.log,alignments/15-20-D2D29_3.bam,5215140,2,3.83498813071174e-07
15-20-D2D29_4,TRUE,alignments/15-20-D2D29_4.log,alignments/15-20-D2D29_4.bam,5084173,0,0
16-14-A7D25_1,TRUE,alignments/16-14-A7D25_1.log,alignments/16-14-A7D25_1.bam,13497463,245,1.8151559296736e-05
16-14-A7D25_2,TRUE,alignments/16-14-A7D25_2.log,alignments/16-14-A7D25_2.bam,13202415,228,1.72695677268136e-05
16-14-A7D25_3,TRUE,alignments/16-14-A7D25_3.log,alignments/16-14-A7D25_3.bam,13634069,246,1.80430361618384e-05
16-14-A7D25_4,TRUE,alignments/16-14-A7D25_4.log,alignments/16-14-A7D25_4.bam,13445859,257,1.9113691434664e-05
17-26-A7D20_1,TRUE,alignments/17-26-A7D20_1.log,alignments/17-26-A7D20_1.bam,9059954,134,1.4790362070271e-05
17-26-A7D20_2,TRUE,alignments/17-26-A7D20_2.log,alignments/17-26-A7D20_2.bam,8864168,136,1.53426694981413e-05
17-26-A7D20_3,TRUE,alignments/17-26-A7D20_3.log,alignments/17-26-A7D20_3.bam,9148360,126,1.37729603994596e-05
17-26-A7D20_4,TRUE,alignments/17-26-A7D20_4.log,alignments/17-26-A7D20_4.bam,9014136,126,1.39780451504171e-05
