url,target,description
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8664635/SRR8664635_1.fastq.gz,data/duration/raw/0C-03-08-16_R1_001.fastq.gz,forward reads for 0C-03-08-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8664638/SRR8664638_1.fastq.gz,data/duration/raw/0C-03-10-16_R1_001.fastq.gz,forward reads for 0C-03-10-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8664637/SRR8664637_1.fastq.gz,data/duration/raw/0C-03-12-16_R1_001.fastq.gz,forward reads for 0C-03-12-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8664640/SRR8664640_1.fastq.gz,data/duration/raw/0C-03-14-16_R1_001.fastq.gz,forward reads for 0C-03-14-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8664639/SRR8664639_1.fastq.gz,data/duration/raw/0C-03-16-16_R1_001.fastq.gz,forward reads for 0C-03-16-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8664642/SRR8664642_1.fastq.gz,data/duration/raw/0C-03-18-16_R1_001.fastq.gz,forward reads for 0C-03-18-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8664641/SRR8664641_1.fastq.gz,data/duration/raw/0C-03-20-16_R1_001.fastq.gz,forward reads for 0C-03-20-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8664644/SRR8664644_1.fastq.gz,data/duration/raw/0C-03-22-16_R1_001.fastq.gz,forward reads for 0C-03-22-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8664643/SRR8664643_1.fastq.gz,data/duration/raw/0C-03-24-16_R1_001.fastq.gz,forward reads for 0C-03-24-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8664531/SRR8664531_1.fastq.gz,data/duration/raw/0C-03-28-16_R1_001.fastq.gz,forward reads for 0C-03-28-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8664532/SRR8664532_1.fastq.gz,data/duration/raw/0C-04-05-16_R1_001.fastq.gz,forward reads for 0C-04-05-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8664533/SRR8664533_1.fastq.gz,data/duration/raw/0D-03-03-16_R1_001.fastq.gz,forward reads for 0D-03-03-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8664534/SRR8664534_1.fastq.gz,data/duration/raw/0D-03-04-16_R1_001.fastq.gz,forward reads for 0D-03-04-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8664535/SRR8664535_1.fastq.gz,data/duration/raw/0D-03-06-16_R1_001.fastq.gz,forward reads for 0D-03-06-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8664536/SRR8664536_1.fastq.gz,data/duration/raw/0D-03-08-16_R1_001.fastq.gz,forward reads for 0D-03-08-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8664537/SRR8664537_1.fastq.gz,data/duration/raw/0D-03-10-16_R1_001.fastq.gz,forward reads for 0D-03-10-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8664538/SRR8664538_1.fastq.gz,data/duration/raw/0D-03-12-16_R1_001.fastq.gz,forward reads for 0D-03-12-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8664539/SRR8664539_1.fastq.gz,data/duration/raw/0D-03-14-16_R1_001.fastq.gz,forward reads for 0D-03-14-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8664540/SRR8664540_1.fastq.gz,data/duration/raw/0D-03-16-16_R1_001.fastq.gz,forward reads for 0D-03-16-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8664518/SRR8664518_1.fastq.gz,data/duration/raw/0D-03-18-16_R1_001.fastq.gz,forward reads for 0D-03-18-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8664517/SRR8664517_1.fastq.gz,data/duration/raw/0D-03-20-16_R1_001.fastq.gz,forward reads for 0D-03-20-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8664516/SRR8664516_1.fastq.gz,data/duration/raw/0D-03-22-16_R1_001.fastq.gz,forward reads for 0D-03-22-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8664515/SRR8664515_1.fastq.gz,data/duration/raw/0D-03-24-16_R1_001.fastq.gz,forward reads for 0D-03-24-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8664514/SRR8664514_1.fastq.gz,data/duration/raw/0D-03-28-16_R1_001.fastq.gz,forward reads for 0D-03-28-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8664513/SRR8664513_1.fastq.gz,data/duration/raw/0D-04-05-16_R1_001.fastq.gz,forward reads for 0D-04-05-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8664512/SRR8664512_1.fastq.gz,data/duration/raw/16A-03-03-16_R1_001.fastq.gz,forward reads for 16A-03-03-16
