,sample-1,sample-10,sample-11,sample-12,sample-13,sample-14,sample-15,sample-16,sample-17,sample-18,sample-19,sample-2,sample-20,sample-21,sample-22,sample-23,sample-24,sample-25,sample-26,sample-27,sample-28,sample-29,sample-3,sample-30,sample-31,sample-32,sample-33,sample-34,sample-35,sample-36,sample-37,sample-38,sample-39,sample-4,sample-40,sample-41,sample-42,sample-43,sample-44,sample-45,sample-46,sample-47,sample-48,sample-49,sample-5,sample-50,sample-51,sample-52,sample-53,sample-54,sample-55,sample-56,sample-57,sample-58,sample-59,sample-6,sample-60,sample-61,sample-62,sample-63,sample-64,sample-65,sample-66,sample-67,sample-68,sample-69,sample-7,sample-70,sample-71,sample-72,sample-73,sample-74,sample-75,sample-76,sample-77,sample-78,sample-79,sample-8,sample-80,sample-81,sample-82,sample-83,sample-84,sample-85,sample-86,sample-87,sample-88,sample-89,sample-9,sample-90,sample-91,sample-92,sample-93,sample-94,sample-95,sample-96
1685fc14e1e1cd529998a2c8dedcc494,0.0,0.0,0.0,16.0,0.0,266.0,190.0,78.0,291.0,0.0,0.0,0.0,0.0,13.0,5.0,97.0,15.0,3.0,24.0,0.0,0.0,15.0,0.0,0.0,11.0,38.0,18.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,10.0,0.0,0.0,0.0,49.0,74.0,0.0,0.0,0.0,34.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,22.0,110.0,0.0,0.0,66.0,123.0,10.0,0.0,9.0,0.0,110.0,83.0,44.0,16.0,30.0,0.0,236.0,11.0,5.0,15.0,41.0,0.0,12.0,7.0,69.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0
94c41d4b43938179e6163f691611d466,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,457.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,279.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,0.0,0.0
bdc2e3a7e08ba1e23a29bb9d5c66623b,0.0,0.0,0.0,27.0,0.0,286.0,224.0,43.0,235.0,0.0,0.0,0.0,0.0,12.0,6.0,63.0,27.0,5.0,22.0,0.0,0.0,23.0,0.0,0.0,15.0,32.0,23.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,10.0,0.0,0.0,0.0,65.0,110.0,0.0,0.0,0.0,30.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,28.0,120.0,0.0,0.0,52.0,128.0,15.0,0.0,11.0,0.0,93.0,60.0,44.0,20.0,34.0,0.0,192.0,15.0,4.0,12.0,52.0,0.0,17.0,5.0,74.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0
991a0d61ae4d098abf0dbdd03783751d,0.0,0.0,0.0,14.0,0.0,267.0,185.0,60.0,264.0,0.0,0.0,0.0,0.0,16.0,5.0,91.0,20.0,4.0,36.0,0.0,0.0,14.0,0.0,0.0,9.0,28.0,23.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,7.0,0.0,0.0,0.0,36.0,68.0,0.0,0.0,0.0,25.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,16.0,83.0,0.0,0.0,61.0,138.0,16.0,0.0,9.0,0.0,113.0,54.0,41.0,14.0,37.0,0.0,274.0,11.0,8.0,15.0,46.0,0.0,19.0,2.0,46.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0
7fb1e37d017d3e87ca31c1e758fce17a,30.0,0.0,9.0,7.0,0.0,205.0,143.0,22.0,226.0,0.0,0.0,73.0,0.0,21.0,30.0,24.0,0.0,26.0,0.0,8.0,0.0,20.0,32.0,0.0,22.0,14.0,22.0,0.0,0.0,45.0,0.0,25.0,66.0,0.0,35.0,0.0,0.0,0.0,17.0,38.0,0.0,0.0,0.0,32.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,33.0,31.0,0.0,0.0,12.0,110.0,57.0,0.0,32.0,19.0,121.0,57.0,39.0,8.0,12.0,0.0,187.0,44.0,14.0,9.0,44.0,0.0,28.0,23.0,43.0,0.0,0.0,0.0,0.0,28.0,64.0,0.0,0.0,0.0,38.0,0.0,0.0,40.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0
1ecd782479753c7aa076eb082b9e9ffb,46.0,0.0,8.0,76.0,0.0,0.0,0.0,32.0,118.0,0.0,0.0,41.0,0.0,207.0,31.0,94.0,22.0,32.0,36.0,150.0,8.0,86.0,0.0,48.0,6.0,44.0,97.0,10.0,38.0,22.0,23.0,11.0,31.0,0.0,2.0,0.0,0.0,0.0,47.0,22.0,0.0,0.0,0.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,16.0,25.0,73.0,0.0,54.0,86.0,53.0,0.0,52.0,125.0,39.0,25.0,57.0,23.0,103.0,0.0,6.0,11.0,28.0,7.0,26.0,0.0,7.0,10.0,20.0,0.0,0.0,0.0,16.0,36.0,22.0,0.0,3.0,0.0,28.0,0.0,0.0,0.0,0.0,147.0,0.0,7.0,0.0,0.0,0.0
7614e45b91a88c7bb285cbad21663310,0.0,416.0,0.0,42.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,21.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,68.0,46.0,42.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,290.0
e1a4b16c151912dfbb3d67750dbe207e,198.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,71.0,0.0,0.0,82.0,0.0,53.0,0.0,0.0,15.0,0.0,53.0,24.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,107.0,0.0,55.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,187.0,60.0,37.0,142.0,19.0,0.0,0.0,23.0,35.0,175.0,84.0,60.0,0.0,67.0,11.0,19.0,0.0,0.0,0.0,21.0,0.0,65.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0
6f18f04dafe15d95ede8aad097a12b38,0.0,0.0,0.0,67.0,0.0,0.0,0.0,34.0,11.0,0.0,0.0,80.0,0.0,39.0,18.0,37.0,15.0,13.0,26.0,38.0,0.0,67.0,0.0,37.0,0.0,0.0,0.0,11.0,9.0,126.0,0.0,55.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,88.0,0.0,0.0,0.0,7.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,100.0,30.0,101.0,0.0,110.0,29.0,178.0,71.0,165.0,86.0,0.0,0.0,7.0,84.0,142.0,40.0,17.0,0.0,0.0,2.0,54.0,0.0,0.0,0.0,18.0,71.0,8.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acfaf922b4397e84d393d3ef28dc5466,202.0,0.0,24.0,39.0,0.0,0.0,0.0,32.0,23.0,0.0,0.0,28.0,0.0,39.0,17.0,36.0,13.0,21.0,33.0,36.0,18.0,65.0,0.0,13.0,20.0,46.0,0.0,26.0,6.0,40.0,12.0,26.0,0.0,0.0,13.0,0.0,0.0,0.0,42.0,29.0,0.0,0.0,0.0,11.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,8.0,31.0,0.0,33.0,77.0,29.0,34.0,44.0,15.0,166.0,0.0,15.0,171.0,49.0,23.0,36.0,0.0,13.0,8.0,123.0,0.0,0.0,0.0,15.0,58.0,24.0,0.0,19.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,168.0,16.0,0.0,0.0,0.0
