n,effect,mu,phi,mean_reads,prevalence,power,power_sd,fdr,fdr_sd
4,0,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,,
6,0,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,,
8,0,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,,
12,0,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,,
16,0,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,,
20,0,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.000588235294117647,0.00186016332951081,,
28,0,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.00117647058823529,0.00248021777268108,,
38,0,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,,
50,0,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.000588235294117647,0.00186016332951081,,
70,0,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.00176470588235294,0.00284144642082146,,
94,0,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.00117647058823529,0.00248021777268108,,
128,0,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.00117647058823529,0.00248021777268108,,
4,0.1,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,0,0
6,0.1,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,0,0
8,0.1,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,0,0
12,0.1,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,0,0
16,0.1,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.00882352941176471,0.00796474353395682,0,0
20,0.1,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.0488235294117647,0.00962583349696751,0.0315909090909091,0.0515424392968407
28,0.1,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.0435294117647059,0.00632333941043024,0,0
38,0.1,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.0629411764705882,0.00397028563359149,0.0334498834498835,0.0433096915430818
50,0.1,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.0652941176470588,0.00704246470434038,0.0316183816183816,0.0548107066972242
70,0.1,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.08,0.0141936949575324,0.033415930474754,0.049109521931684
94,0.1,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.0770588235294118,0.0112467689409412,0.0260746606334842,0.0449734342624827
128,0.1,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.0876470588235294,0.0186944100965538,0.0399080086580087,0.0479437178541295
4,0.2,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,0,0
6,0.2,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,0,0
8,0.2,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,0,0
12,0.2,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,0,0
16,0.2,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.0447058823529412,0.0121505359881017,0.01,0.0316227766016838
20,0.2,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.0623529411764706,0.00841082768216754,0,0
28,0.2,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.0770588235294118,0.0101696490038352,0.00625,0.0197642353760524
38,0.2,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.0852941176470588,0.00796474353395682,0.0450887021475257,0.0531566077604622
50,0.2,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.12,0.0190509141984174,0.0191520467836257,0.0250792435597865
70,0.2,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.162352941176471,0.0206022361357862,0.0280750029025891,0.0331285481874729
94,0.2,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.182352941176471,0.0381220041082815,0.0434819234819235,0.0384082036737953
128,0.2,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.28,0.0440369632584464,0.0202033852033852,0.0248598095646748
4,0.3,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,0,0
6,0.3,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,0,0
8,0.3,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,0,0
12,0.3,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0,0,0,0
16,0.3,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.0347058823529412,0.0093831263639258,0.0392857142857143,0.0865861740284199
20,0.3,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.0870588235294118,0.0123389276255312,0.0162337662337662,0.0345304245314801
28,0.3,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.0758823529411765,0.0108995624389704,0.0143589743589744,0.0303677510990803
38,0.3,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.144705882352941,0.0393331573901799,0.0255507455507456,0.0352492214051787
50,0.3,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.2,0.0138648388467951,0.0246618738588553,0.0338866858115146
70,0.3,0.0291798844336687,0.0249855560703382,292.108056265985,0.90537084398977,0.301764705882353,0.0396107550861239,0.0290379477542056,0.0257350963843546
