n,effect,r2,r2_sd,power,power_sd,asym_r2,asym_r2_sd,fdr,fdr_sd
20,0.7,0.151195259029559,0.00310002085881916,1,0,0.0614063605500704,0.000898653799435148,0.0597014925373134,0.0770742954469138
28,0.7,0.0987094407446904,0.0024536451523202,1,0,0.0614063605500704,0.000898653799435148,0.0517464424320828,0.10909107926411
38,0.7,0.0798901290010707,0.00288748357632577,1,0,0.0614063605500704,0.000898653799435148,0.0985221674876847,0.0778886123194182
50,0.7,0.0714855136783943,0.00164015378796691,1,0,0.0614063605500704,0.000898653799435148,0.0630517023959647,0.107167286960756
70,0.7,0.0567688620074754,0.00101168601922745,1,0,0.0614063605500704,0.000898653799435148,0.0482509047044632,0.0622916501199424
94,0.7,0.0699721877037801,0.000957181543020782,1,0,0.0614063605500704,0.000898653799435148,0.04739336492891,0.061184571030133
128,0.7,0.0614063605500704,0.000898653799435148,1,0,0.0614063605500704,0.000898653799435148,0.0670391061452514,0.0942205634314601
4,0.8,0.40362222956906,0.0128080132991713,0,0,0.105894748758689,0.00139920327110717,,
6,0.8,0.275581915823277,0.00723393811217266,0,0,0.105894748758689,0.00139920327110717,,
8,0.8,0.202266171760685,0.0102080904405926,0.52,0.147572957474524,0.105894748758689,0.00139920327110717,0.191387559808612,0.334548276928278
12,0.8,0.149233506678857,0.00658570453861725,0.95,0.0707106781186547,0.105894748758689,0.00139920327110717,0.112781954887218,0.131429680221824
16,0.8,0.12893887116611,0.00469689494055363,1,0,0.105894748758689,0.00139920327110717,0.131578947368421,0.202182992484493
20,0.8,0.120228221869783,0.00493871972947146,1,0,0.105894748758689,0.00139920327110717,0.0597014925373134,0.0770742954469138
28,0.8,0.0873449802624582,0.00266538885286941,1,0,0.105894748758689,0.00139920327110717,0.0517464424320828,0.10909107926411
38,0.8,0.0783003349375305,0.00163683630099428,1,0,0.105894748758689,0.00139920327110717,0.0985221674876847,0.0778886123194182
50,0.8,0.0868578581858158,0.00174109606257764,1,0,0.105894748758689,0.00139920327110717,0.0630517023959647,0.107167286960756
70,0.8,0.110308103411825,0.00173950935216742,1,0,0.105894748758689,0.00139920327110717,0.0482509047044632,0.0622916501199424
94,0.8,0.0565204937898046,0.000917491711396771,1,0,0.105894748758689,0.00139920327110717,0.04739336492891,0.061184571030133
128,0.8,0.105894748758689,0.00139920327110717,1,0,0.105894748758689,0.00139920327110717,0.0670391061452514,0.0942205634314601
4,0.9,0.418326338382585,0.0113294637457165,0,0,0.0755981984668835,0.00085226856363432,,
6,0.9,0.289709824538675,0.00862621066940447,0,0,0.0755981984668835,0.00085226856363432,,
8,0.9,0.189137405961116,0.00705089672861191,0.36,0.157762127549323,0.0755981984668835,0.00085226856363432,0.191387559808612,0.334548276928278
12,0.9,0.157564302066368,0.00701507467359949,0.96,0.0699205898780101,0.0755981984668835,0.00085226856363432,0.112781954887218,0.131429680221824
16,0.9,0.191400982358569,0.00529916225118656,1,0,0.0755981984668835,0.00085226856363432,0.131578947368421,0.202182992484493
20,0.9,0.153096146376356,0.00290364687022544,1,0,0.0755981984668835,0.00085226856363432,0.0597014925373134,0.0770742954469138
28,0.9,0.157156737806042,0.00335709083770071,1,0,0.0755981984668835,0.00085226856363432,0.0517464424320828,0.10909107926411
38,0.9,0.0857584755462341,0.00203123705138547,1,0,0.0755981984668835,0.00085226856363432,0.0985221674876847,0.0778886123194182
50,0.9,0.0913439939532715,0.00159164997950185,1,0,0.0755981984668835,0.00085226856363432,0.0630517023959647,0.107167286960756
70,0.9,0.0948090539118295,0.000762224550750529,1,0,0.0755981984668835,0.00085226856363432,0.0482509047044632,0.0622916501199424
94,0.9,0.117908273197936,0.000879901950996673,1,0,0.0755981984668835,0.00085226856363432,0.04739336492891,0.061184571030133
128,0.9,0.0755981984668835,0.00085226856363432,1,0,0.0755981984668835,0.00085226856363432,0.0670391061452514,0.0942205634314601
